seed,table_row,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
22003,433,0.268999994,3.48400021,5.57999992,8,0.988000035,10.7200012,-71.4599991,0.0131160012,0.0874600038,0.0688400045,-29.2799988,3838.69995,5,-6,5.23178482,1.1654017,2.49364328,0.262123257
22003,441,1.21430004,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.86789227,1.88522625,2.16415262,0.136418924
22003,443,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,456,0.280499995,3.26399994,6.34250021,8,2.18000007,-53.2799988,-71.4599991,0.0131160012,0.0828050077,0.0707400069,-29.2799988,3838.69995,-4,-6,4.96255207,1.23297799,2.63967991,0.181649074
22003,463,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,471,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3887.7002,-6,-5,3.56624961,1.39062154,1.81257236,0.0605092905
22003,473,0.29430002,4.296,6.53499985,8,0.968000054,66.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3868.10034,5,-6,4.97668076,1.36064589,2.95125175,0.110797241
22003,474,1.21430004,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4818.7002,0,0,4.81056118,1.88709354,2.16430163,0.126527712
22003,475,0.268999994,3.48400021,5.57999992,8,1.04000008,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.2799988,3838.69995,5,-6,5.22769451,1.16392064,2.50285554,0.260153115
22003,477,0.29430002,4.296,6.53499985,8,0.968000054,66.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,5,-6,5.09534359,1.37216306,2.95507932,0.128016889
22003,480,0.273600012,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.71756172,1.78192389,2.21927714,0.119393431
22003,488,0.802600026,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.88583612,1.87588215,2.16659045,0.140560582
22003,502,1.21430004,4.09600019,7.50750017,8,2.75200009,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.2799988,3838.69995,5,-6,4.68126774,1.17536771,2.69369102,0.135368168
22003,508,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3887.7002,-6,-5,3.56624961,1.39062154,1.81257236,0.0605092905
22003,512,0.268999994,3.48400021,5.57999992,8,1.04000008,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.3999977,4848.1001,5,-6,4.94372606,1.45385587,2.90327311,0.0977661908
22003,513,0.273600012,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.9200058,3838.69995,0,0,4.60907078,1.7451297,2.16576457,0.116362691
22003,517,0.273600012,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,3804.40015,0,0,4.56885767,1.74489546,2.15800047,0.110993609
22003,522,1.21430004,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0215160009,0.0875550061,0.0707400069,-29.2799988,3838.69995,-6,-6,5.27780342,1.3631922,2.50250864,0.235350385
22003,529,0.340300024,4.09600019,7.50750017,8,2.75200009,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.2799988,3838.69995,5,-6,4.62171984,1.16955245,2.71438885,0.122963108
22003,535,0.268999994,3.48400021,6.45249987,8,1.84000003,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.2799988,3838.69995,5,-5,4.86301327,1.29207695,2.58734703,0.163931549
22003,543,0.298900008,3.89600015,6.53000021,8,0.988000035,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.65827799,1.73921382,2.13170862,0.131225899
22003,547,0.29430002,4.09600019,7.58250046,8,2.75200009,-56.4799995,-71.4599991,0.0131160012,0.0828050077,0.0707400069,-29.2799988,3838.69995,0,0,4.79908943,2.08901834,2.58180571,0.0213775337
22003,550,0.268999994,3.48400021,5.57999992,8,1.04000008,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.2799988,3838.69995,5,-6,5.22769451,1.16392064,2.50285554,0.260153115
