seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,1,0.814100027,4.51599979,6.28499985,8,3.44400024,-64.9599991,-33.1199989,0.0124160005,0.0530700013,0.0988600031,42.3600082,1349.50012,0,0,165.555923,1.59029114,1.91288722,27.008791
11001,1,0.703700006,3.75200009,7.27999973,8,2.71600008,-71.8399963,-56.7000008,0.016644001,0.0412900001,0.0620949976,11.8800049,2878.30005,0,0,19.9692192,14.5322742,3.61514187,0.303633571
11001,1,1.01190007,3.70000005,7.82000017,8,3.0480001,60.9600067,-29.5199966,0.0259120017,0.0668449998,0.0543050021,57.6000061,4632.50049,0,0,33.1689987,20.6091938,4.05392122,1.41764712
11001,1,1.61910009,2.22000003,5.90999985,8,0.0200000014,-2.55999756,85.1400146,0.0117720012,0.0287499987,0.0493649989,-30.8399982,2118.80029,0,0,33.1555061,8.01014233,2.26987362,3.8125813
11001,1,1.72720015,3.41200018,6.2125001,8,0.716000021,-18.3999977,-15.1199951,0.0124160005,0.0530700013,0.0988600031,42.3600082,1349.50012,0,0,86.2098923,2.05468392,2.06731153,13.6813154
11001,1,0.814100027,4.51599979,6.28499985,8,3.44400024,-64.9599991,-32.9399986,0.00662000012,0.0967700034,0.0853700042,-48.5999985,2221.7002,0,0,59.9120789,1.77994788,2.50955606,9.27042866
11001,1,1.60300004,5.74800014,6.89750004,8,2.46800017,72.1600037,-46.079998,0.0190520007,0.0530700013,0.0988600031,42.3600082,1349.50012,-3,7,125.07769,1.08275664,2.2536912,20.2902069
11001,1,0.814100027,4.51599979,6.28499985,8,3.44400024,-64.9599991,-33.1199989,0.0124160005,0.0262800008,0.0522149988,-21.2399979,1364.20007,0,0,197.623505,1.71873391,2.36576676,32.2565002
11001,1,1.53400016,3.64800024,5.6624999,8,2.6960001,-60.9599991,-32.7599983,0.0151880011,0.016210001,0.0369199999,-43.0800018,2765.6001,0,0,117.944984,2.04441643,2.73383546,18.8611221
11001,1,0.482900023,2.78800011,5.625,8,1.0200001,76,11.1600037,0.0237280019,0.0429049991,0.0886950046,6,398.900024,0,0,64.7548981,1.57220781,2.52606463,10.109437
11001,1,1.07860005,3.42000008,7.82000017,8,3.0480001,60.9600067,-29.5199966,0.0259120017,0.0668449998,0.0543050021,57.6000061,4632.50049,0,0,41.7896271,23.2385845,4.34546041,2.36759758
11001,1,1.61910009,2.3440001,7.99000025,8,3.67600012,68.0000153,-33.659996,0.00751600042,0.0708350018,0.0943950042,40.0800095,3461.40015,0,0,42.300087,24.3074551,2.76484632,2.53796458
11001,1,0.282800019,5.29600048,7.54750013,8,1.74000013,-39.5199966,-28.4399986,0.0292160027,0.0443300009,0.0878400058,-20.9999962,4426.7002,0,0,21.0705776,3.02721262,2.72853351,2.55247211
11001,1,1.47650003,2.22399998,5.88749981,8,1.41600001,-46.3999977,-71.6399994,0.00337200006,0.0426199995,0.0654200017,-38.0400009,1119.19995,0,0,16.012064,2.04387212,2.05305719,1.9858557
11001,1,0.326499999,2.22399998,5.88749981,8,1.41600001,-79.1999969,-23.5799942,0.0173440017,0.0116499998,0.0807150081,25.0800095,3079.2002,0,0,78.7939987,62.349659,4.15573645,2.04810071
11001,1,2.30910015,3.21600008,7.76249981,8,2.05200005,-46.3999977,-71.6399994,0.00337200006,0.0426199995,0.0654200017,-38.0400009,1119.19995,5,-5,38.7324753,1.34293926,2.35248184,5.83950949
11001,1,1.03030002,3.32000017,7.34250021,8,2.10800004,-20.3199959,72,0.00970000029,0.0937300026,0.084800005,-59.6399994,3853.40015,0,0,13.468133,5.47985125,4.25321674,0.62251085
11001,1,1.32470012,3.80800009,6.49499989,8,3.37200022,-70.5599976,-57.9599991,0.0162240006,0.0557300039,0.0655150041,-53.4000015,1790.50012,0,0,89.6354828,1.71204078,2.12607169,14.2995615
11001,1,0.683000028,5.26000023,7.11999989,8,0.180000007,-47.1999969,63.5400085,0.00802000053,0.0253299996,0.0222900026,-57.1199989,2030.6001,3,-3,211.827179,1.08068824,1.70326889,34.840538
11001,1,1.19360006,3.74000025,5.86500025,8,3.2440002,74.8800049,26.2800064,0.00732000079,0.0530700013,0.0613350049,39.840004,3794.6001,0,0,38.5367317,2.7869637,2.50046611,5.54155016
